Arbrook,FrameTime,SetupTime,BGFX,FrameTime,Native,FrameTime,SetupTime,
 ,0.0064, , ,0.1962, ,0.0046, ,
 ,0.0064, , ,0.1994, ,0.0047, ,
 ,0.0064, , ,0.2403, ,0.0047, ,
 ,0.0064, , ,0.2053, ,0.0047, ,
 ,0.0064, , ,0.1996, ,0.0047, ,
 ,0.0064, , ,0.1989, ,0.0046, ,
 ,0.0064, , ,0.2055, ,0.0047, ,
 ,0.0065, , ,0.2001, ,0.0047, ,
 ,0.0064, , ,0.2138, ,0.0046, ,
 ,0.0066, , ,0.1998, ,0.0046, ,
 ,0.0065, , ,0.1997, ,0.0047, ,
 ,0.0065, , ,0.198, ,0.0048, ,
 ,0.0064, , ,0.1991, ,0.0047, ,
 ,0.0064, , ,0.1984, ,0.0047, ,
 ,0.0101, , ,0.1982, ,0.0047, ,
 ,0.0068, , ,0.2171, ,0.0061, ,
 ,0.0068, , ,0.2083, ,0.0061, ,
 ,0.0065, , ,0.1996, ,0.0048, ,
 ,0.0064, , ,0.1977, ,0.0047, ,
 ,0.0064, , ,0.1973, ,0.0048, ,
 ,0.0066, , ,0.1993, ,0.0049, ,
 ,0.0065, , ,0.1975, ,0.005, ,
 ,0.0064, , ,0.2028, ,0.0047, ,
 ,0.0064, , ,0.2157, ,0.0047, ,
 ,0.0064, , ,0.2012, ,0.0047, ,
 ,0.0064, , ,0.2038, ,0.0047, ,
 ,0.0066, , ,0.2445, ,0.0047, ,
 ,0.0063, , ,0.1996, ,0.0048, ,
 ,0.0063, , ,0.1986, ,0.0047, ,
 ,0.0064, , ,0.1984, ,0.0048, ,
 ,0.0063, , ,0.1986, ,0.0048, ,
 ,0.0064, , ,0.1987, ,0.0047, ,
 ,0.0064, , ,0.2003, ,0.0048, ,
 ,0.0065, , ,0.2004, ,0.0048, ,
 ,0.0081, , ,0.1981, ,0.0048, ,
 ,0.0079, , ,0.1982, ,0.0048, ,
 ,0.0078, , ,0.2015, ,0.0048, ,
 ,0.0065, , ,0.1992, ,0.0047, ,
 ,0.0064, , ,0.2014, ,0.0049, ,
 ,0.0064, , ,0.1979, ,0.0048, ,
 ,0.0065, , ,0.2083, ,0.0048, ,
 ,0.0065, , ,0.2031, ,0.0049, ,
 ,0.0066, , ,0.2515, ,0.0048, ,
 ,0.0064, , ,0.2418, ,0.0048, ,
 ,0.0065, , ,0.1989, ,0.0048, ,
 ,0.0065, , ,0.1995, ,0.0048, ,
 ,0.0065, , ,0.2064, ,0.0047, ,
 ,0.0065, , ,0.2006, ,0.0047, ,
 ,0.0065, , ,0.2136, ,0.0048, ,
 ,0.0065, , ,0.2628, ,0.0048, ,
 ,0.0066, , ,0.2284, ,0.0069, ,
 ,0.0065, , ,0.2, ,0.005, ,
 ,0.0065, , ,0.1986, ,0.0048, ,
 ,0.0067, , ,0.2207, ,0.0048, ,
 ,0.0065, , ,0.2036, ,0.0047, ,
 ,0.0064, , ,0.2011, ,0.0047, ,
 ,0.0065, , ,0.2016, ,0.0047, ,
 ,0.0064, , ,0.1993, ,0.0048, ,
 ,0.0065, , ,0.279, ,0.0047, ,
 ,0.0063, , ,0.2504, ,0.0047, ,
 ,0.0066, , ,0.2456, ,0.0047, ,
 ,0.0065, , ,0.2281, ,0.0047, ,
 ,0.0065, , ,0.1997, ,0.0047, ,
 ,0.0065, , ,0.1993, ,0.0047, ,
 ,0.0065, , ,0.2014, ,0.0047, ,
 ,0.0064, , ,0.1997, ,0.0048, ,
 ,0.0064, , ,0.2342, ,0.0046, ,
 ,0.0065, , ,0.2027, ,0.0048, ,
 ,0.0065, , ,0.1982, ,0.0047, ,
 ,0.0064, , ,0.201, ,0.0046, ,
 ,0.0064, , ,0.2067, ,0.0046, ,
 ,0.0065, , ,0.2001, ,0.0047, ,
