Arbrook,Drawing Time,BGFX,Drawing Time,Native,Drawing Time,
 ,0.0036, ,0.1675, ,0.0043,
 ,0.0037, ,0.1699, ,0.004,
 ,0.0037, ,0.1676, ,0.004,
 ,0.0037, ,0.1788, ,0.0041,
 ,0.0039, ,0.1666, ,0.0054,
 ,0.0036, ,0.1684, ,0.0042,
 ,0.004, ,0.1696, ,0.0041,
 ,0.0043, ,0.1665, ,0.004,
 ,0.0037, ,0.1673, ,0.0046,
 ,0.0036, ,0.1657, ,0.0041,
 ,0.0037, ,0.1689, ,0.0056,
 ,0.0042, ,0.1669, ,0.0043,
 ,0.0039, ,0.1674, ,0.0043,
 ,0.0036, ,0.169, ,0.004,
 ,0.0042, ,0.1675, ,0.004,
 ,0.0037, ,0.1706, ,0.0038,
 ,0.0037, ,0.1657, ,0.0039,
 ,0.0036, ,0.1654, ,0.0038,
 ,0.0036, ,0.1664, ,0.0036,
 ,0.0042, ,0.1689, ,0.0038,
 ,0.004, ,0.1661, ,0.0042,
 ,0.0035, ,0.1759, ,0.0035,
 ,0.0037, ,0.1677, ,0.0044,
 ,0.0042, ,0.1675, ,0.0045,
 ,0.0036, ,0.1691, ,0.0043,
 ,0.0036, ,0.1666, ,0.004,
 ,0.0037, ,0.1656, ,0.004,
 ,0.0043, ,0.1665, ,0.0041,
 ,0.004, ,0.1672, ,0.0043,
 ,0.0039, ,0.2198, ,0.0038,
 ,0.0039, ,0.1676, ,0.0038,
 ,0.0043, ,0.1679, ,0.0036,
 ,0.0036, ,0.1727, ,0.0039,
 ,0.0039, ,0.1678, ,0.0036,
 ,0.0036, ,0.17, ,0.0036,
 ,0.0042, ,0.238, ,0.0036,
 ,0.0039, ,0.1785, ,0.004,
 ,0.0039, ,0.1564, ,0.0036,
 ,0.0049, ,0.1375, ,0.0035,
 ,0.0041, ,0.1409, ,0.0037,
 ,0.0036, ,0.1828, ,0.004,
 ,0.0037, ,0.1688, ,0.0042,
 ,0.0037, ,0.1678, ,0.0038,
 ,0.0042, ,0.1669, ,0.0038,
 ,0.0039, ,0.1947, ,0.0039,
 ,0.0042, ,0.1717, ,0.0036,
 ,0.0043, ,0.2385, ,0.0036,
 ,0.0042, ,0.2153, ,0.0037,
 ,0.0038, ,0.2061, ,0.0039,
 ,0.0039, ,0.2021, ,0.0037,
 ,0.0037, ,0.1767, ,0.0036,
 ,0.0039, ,0.1686, ,0.0037,
 ,0.0039, ,0.1683, ,0.0038,
 ,0.0037, ,0.1708, ,0.0035,
 ,0.0037, ,0.17, ,0.0035,
 ,0.0042, ,0.1675, ,0.0037,
 ,0.0039, ,0.1743, ,0.0037,
 ,0.0036, ,0.1678, ,0.0037,
 ,0.0038, ,0.1711, ,0.0036,
 ,0.0042, ,0.1684, ,0.0036,
 ,0.0041, ,0.1693, ,0.0038,
 ,0.004, ,0.1702, ,0.0035,
 ,0.0037, ,0.1804, ,0.0035,
 ,0.004, ,0.1701, ,0.0036,
 ,0.004, ,0.1684, ,0.004,
 ,0.0036, ,0.1672, ,0.0038,
 ,0.004, ,0.1695, ,0.0035,
 ,0.0042, ,0.1685, ,0.0037,
 ,0.0038, ,0.1675, ,0.0038,
 ,0.0037, ,0.1686, ,0.0035,
 ,0.0037, ,0.1671, ,0.0034,
 ,0.0043, ,0.168, ,0.0036,
 ,0.0036, ,0.169, ,0.0041,
 ,0.0036, ,0.1721, ,0.0037,
 ,0.0042, ,0.1684, ,0.0035,
 ,0.0042, ,0.1674, ,0.0036,
