Arbrook,FrameTime,SetupTime,Model Switch Time,BGFX,FrameTime,SetupTime,Model Switch Time,Native,FrameTime,SetupTime,Model Switch Time,
 ,0.0131, ,0.0093, ,0.7838, ,4e-04, ,0.01, ,0.0076,
 ,1.2888, ,1.2843, ,0.6243, ,4e-04, ,1.106, ,1.103,
 ,0.1497, ,0.1457, ,0.1723, ,4e-04, ,0.1422, ,0.1392,
 ,0.0378, ,0.0342, ,0.4233, ,3e-04, ,0.0405, ,0.0363,
 ,0.0101, ,0.0066, ,0.6336, ,4e-04, ,0.0118, ,0.0085,
 ,0.0087, ,0.0054, ,0.3534, ,4e-04, ,0.0098, ,0.0067,
 ,0.3693, ,0.3654, ,0.2206, ,4e-04, ,0.2947, ,0.2917,
 ,0.5484, ,0.5442, ,0.2606, ,3e-04, ,0.4722, ,0.469,
 ,0.0643, ,0.0604, ,0.1423, ,4e-04, ,0.065, ,0.0622,
 ,0.7258, ,0.7216, ,0.8909, ,4e-04, ,0.6286, ,0.6254,
 ,0.1037, ,0.0987, ,0.1741, ,6e-04, ,0.0812, ,0.0783,
 ,0.0101, ,0.0059, ,0.1681, ,5e-04, ,0.0066, ,0.0042,
 ,0.0121, ,0.0085, ,0.5733, ,5e-04, ,0.0137, ,0.0104,
 ,1.256, ,1.2516, ,0.6442, ,4e-04, ,1.1238, ,1.1205,
 ,0.1447, ,0.1407, ,0.1509, ,4e-04, ,0.1457, ,0.1426,
 ,0.035, ,0.0313, ,0.4241, ,3e-04, ,0.0316, ,0.0289,
 ,0.0099, ,0.0065, ,0.6127, ,4e-04, ,0.0084, ,0.0059,
 ,0.0083, ,0.005, ,0.1416, ,5e-04, ,0.0066, ,0.0042,
 ,0.314, ,0.3102, ,0.3214, ,4e-04, ,0.2911, ,0.2882,
 ,0.5009, ,0.4967, ,0.2529, ,4e-04, ,0.4691, ,0.4658,
 ,0.0664, ,0.0625, ,0.1421, ,4e-04, ,0.0629, ,0.0599,
 ,0.6463, ,0.6424, ,0.8801, ,4e-04, ,0.6372, ,0.6343,
 ,0.0822, ,0.0784, ,0.1552, ,4e-04, ,0.081, ,0.0781,
 ,0.0082, ,0.0048, ,0.1397, ,4e-04, ,0.0066, ,0.0041,
 ,0.0116, ,0.0082, ,0.6961, ,4e-04, ,0.0107, ,0.0081,
 ,1.3147, ,1.31, ,0.635, ,3e-04, ,1.1183, ,1.1152,
 ,0.1501, ,0.1451, ,0.2093, ,4e-04, ,0.1454, ,0.1414,
 ,0.0343, ,0.0307, ,0.3386, ,5e-04, ,0.0295, ,0.0268,
 ,0.0104, ,0.0068, ,0.9287, ,4e-04, ,0.0083, ,0.0058,
 ,0.0086, ,0.0052, ,0.1404, ,4e-04, ,0.0066, ,0.0041,
 ,0.331, ,0.3274, ,0.289, ,4e-04, ,0.3, ,0.2972,
 ,0.5042, ,0.4999, ,0.2516, ,4e-04, ,0.4792, ,0.476,
 ,0.0667, ,0.0629, ,0.1415, ,4e-04, ,0.0632, ,0.0602,
 ,0.65, ,0.646, ,0.8665, ,4e-04, ,0.6579, ,0.6551,
 ,0.0832, ,0.0795, ,0.1946, ,4e-04, ,0.0803, ,0.0776,
 ,0.008, ,0.0047, ,0.1413, ,4e-04, ,0.0065, ,0.0041,
 ,0.0116, ,0.0083, ,0.6483, ,3e-04, ,0.0103, ,0.0077,
 ,1.1194, ,1.1153, ,0.6169, ,5e-04, ,1.2168, ,1.2133,
 ,0.1458, ,0.1419, ,0.1421, ,4e-04, ,0.1446, ,0.1415,
 ,0.0335, ,0.0299, ,0.383, ,3e-04, ,0.0283, ,0.0256,
 ,0.0099, ,0.0063, ,0.5999, ,4e-04, ,0.0081, ,0.0057,
 ,0.0083, ,0.0049, ,0.1417, ,3e-04, ,0.0065, ,0.0041,
 ,0.3857, ,0.3817, ,0.2771, ,3e-04, ,0.3204, ,0.3176,
 ,0.5311, ,0.5268, ,0.2512, ,4e-04, ,0.4979, ,0.4946,
 ,0.0691, ,0.0651, ,0.1458, ,4e-04, ,0.0614, ,0.0585,
 ,0.8461, ,0.8418, ,0.8427, ,4e-04, ,0.6507, ,0.6476,
 ,0.0933, ,0.0891, ,0.1965, ,4e-04, ,0.0821, ,0.0791,
 ,0.0098, ,0.0062, ,0.1401, ,4e-04, ,0.0071, ,0.0045,
 ,0.0171, ,0.0131, ,0.6899, ,4e-04, ,0.0108, ,0.0082,
 ,1.4128, ,1.4071, ,0.6223, ,4e-04, ,1.2036, ,1.1998,
 ,0.1647, ,0.1605, ,0.1426, ,4e-04, ,0.1498, ,0.1467,
 ,0.0437, ,0.0399, ,0.3933, ,4e-04, ,0.0346, ,0.0312,
 ,0.0112, ,0.0077, ,0.6387, ,4e-04, ,0.0091, ,0.0064,
 ,0.0095, ,0.006, ,0.1403, ,4e-04, ,0.0072, ,0.0045,
 ,0.3843, ,0.3798, ,0.294, ,4e-04, ,0.3554, ,0.3523,
 ,0.7317, ,0.7267, ,0.2497, ,4e-04, ,0.5047, ,0.5013,
 ,0.0754, ,0.0712, ,0.1432, ,4e-04, ,0.0652, ,0.0622,
 ,0.7513, ,0.747, ,0.8528, ,4e-04, ,0.6594, ,0.6563,
 ,0.0901, ,0.0863, ,0.157, ,4e-04, ,0.0837, ,0.0807,
 ,0.0087, ,0.0053, ,0.1406, ,4e-04, ,0.0069, ,0.0044,
 ,0.0135, ,0.0102, ,0.6878, ,4e-04, ,0.0109, ,0.0083,
 ,1.4113, ,1.407, ,0.6229, ,4e-04, ,1.1688, ,1.1655,
 ,0.1572, ,0.1533, ,0.1431, ,4e-04, ,0.1437, ,0.1406,
 ,0.0424, ,0.0387, ,0.3787, ,4e-04, ,0.0296, ,0.027,
 ,0.0104, ,0.0069, ,0.6025, ,4e-04, ,0.0085, ,0.0059,
 ,0.0087, ,0.0055, ,0.1439, ,4e-04, ,0.0067, ,0.0042,
 ,0.3526, ,0.3489, ,0.2723, ,4e-04, ,0.3555, ,0.3521,
 ,0.5312, ,0.527, ,0.6233, ,3e-04, ,0.4915, ,0.4879,
 ,0.0669, ,0.063, ,0.1423, ,4e-04, ,0.0644, ,0.0614,
 ,0.6825, ,0.6787, ,0.8927, ,6e-04, ,0.668, ,0.665,
 ,0.091, ,0.0804, ,0.143, ,4e-04, ,0.0832, ,0.0803,
 ,0.0084, ,0.0051, ,0.1406, ,4e-04, ,0.0068, ,0.0044,
 ,0.013, ,0.0097, ,0.6564, ,4e-04, ,0.0108, ,0.0082,
 ,1.246, ,1.2419, ,0.6092, ,3e-04, ,1.2518, ,1.2487,
 ,0.1462, ,0.1422, ,0.1436, ,3e-04, ,0.1462, ,0.1431,
 ,0.039, ,0.0354, ,0.3662, ,4e-04, ,0.0304, ,0.0277,
 ,0.0101, ,0.0067, ,0.6364, ,4e-04, ,0.0087, ,0.0063,
 ,0.0087, ,0.0055, ,0.1556, ,4e-04, ,0.0066, ,0.0042,
 ,0.3255, ,0.3218, ,0.3009, ,4e-04, ,0.3082, ,0.3053,
 ,0.5208, ,0.5167, ,0.2491, ,4e-04, ,0.5709, ,0.5676,
 ,0.0654, ,0.0616, ,0.1434, ,5e-04, ,0.0643, ,0.0613,
 ,0.7727, ,0.7688, ,0.839, ,4e-04, ,0.6719, ,0.6685,
 ,0.0835, ,0.0797, ,0.1639, ,4e-04, ,0.0851, ,0.0821,
 ,0.0083, ,0.0049, ,0.1411, ,4e-04, ,0.007, ,0.0045,
 ,0.0115, ,0.0082, ,0.6732, ,4e-04, ,0.0115, ,0.0089,
 ,1.2641, ,1.26, ,0.6014, ,4e-04, ,1.1457, ,1.1425,
 ,0.1536, ,0.1493, ,0.1426, ,4e-04, ,0.1461, ,0.1429,
 ,0.0418, ,0.0372, ,0.3752, ,4e-04, ,0.0321, ,0.0296,
 ,0.0108, ,0.0072, ,0.6519, ,4e-04, ,0.0085, ,0.006,
 ,0.0088, ,0.0055, ,0.1748, ,4e-04, ,0.007, ,0.0046,
 ,0.3715, ,0.3677, ,0.2858, ,4e-04, ,0.3178, ,0.3149,
 ,0.5396, ,0.5354, ,0.2466, ,5e-04, ,0.4869, ,0.4837,
 ,0.0667, ,0.0627, ,0.1435, ,4e-04, ,0.0631, ,0.0602,
 ,0.7141, ,0.7102, ,0.8635, ,4e-04, ,0.6426, ,0.6397,
