Arbrook,Drawing Time,BGFX,Drawing Time,Native,Drawing Time,
 ,0.0023, ,0.1624, ,0.0015,
 ,0.0022, ,0.1654, ,0.0013,
 ,0.0029, ,0.1614, ,0.0013,
 ,0.0028, ,0.1624, ,0.0016,
 ,0.0023, ,0.1629, ,0.0017,
 ,0.0022, ,0.1646, ,0.0015,
 ,0.0022, ,0.165, ,0.0014,
 ,0.0024, ,0.1619, ,0.0013,
 ,0.0023, ,0.1614, ,0.0013,
 ,0.0022, ,0.1624, ,0.0013,
 ,0.0022, ,0.165, ,0.0013,
 ,0.0023, ,0.162, ,0.0014,
 ,0.0022, ,0.163, ,0.0014,
 ,0.0022, ,0.164, ,0.0014,
 ,0.0023, ,0.1668, ,0.0013,
 ,0.0022, ,0.1647, ,0.0014,
 ,0.0022, ,0.1631, ,0.0014,
 ,0.0022, ,0.1627, ,0.0015,
 ,0.0022, ,0.1632, ,0.0013,
 ,0.0022, ,0.1671, ,0.0014,
 ,0.0022, ,0.1698, ,0.0014,
 ,0.0023, ,0.1631, ,0.0013,
 ,0.0022, ,0.1946, ,0.0013,
 ,0.0022, ,0.2612, ,0.0013,
 ,0.0022, ,0.173, ,0.0014,
 ,0.0021, ,0.1532, ,0.0014,
 ,0.0022, ,0.1312, ,0.0013,
 ,0.0022, ,0.2103, ,0.0013,
 ,0.0023, ,0.1781, ,0.0013,
 ,0.0022, ,0.167, ,0.0013,
 ,0.0022, ,0.1667, ,0.0014,
 ,0.0022, ,0.1642, ,0.0013,
 ,0.0023, ,0.1655, ,0.0013,
 ,0.0021, ,0.162, ,0.0014,
 ,0.0022, ,0.1613, ,0.0014,
 ,0.0022, ,0.1616, ,0.0014,
 ,0.0022, ,0.1631, ,0.0014,
 ,0.0022, ,0.1619, ,0.0014,
 ,0.0022, ,0.1644, ,0.0013,
 ,0.0022, ,0.1613, ,0.0014,
 ,0.0021, ,0.1616, ,0.0013,
 ,0.0022, ,0.1641, ,0.0013,
 ,0.0022, ,0.256, ,0.0013,
 ,0.0022, ,0.1831, ,0.0013,
 ,0.0022, ,0.1661, ,0.0013,
 ,0.0021, ,0.1619, ,0.0014,
 ,0.0022, ,0.1673, ,0.0013,
 ,0.0022, ,0.1635, ,0.0013,
 ,0.0022, ,0.1666, ,0.0014,
 ,0.0021, ,0.195, ,0.0015,
 ,0.0023, ,0.2159, ,0.0013,
 ,0.0022, ,0.229, ,0.0014,
 ,0.0021, ,0.2348, ,0.0013,
 ,0.0021, ,0.237, ,0.0013,
 ,0.0043, ,0.1953, ,0.0014,
 ,0.0022, ,0.1712, ,0.0013,
 ,0.0022, ,0.1723, ,0.0013,
 ,0.0024, ,0.2138, ,0.0014,
 ,0.0024, ,0.3251, ,0.0015,
 ,0.0022, ,0.2171, ,0.0014,
 ,0.0022, ,0.2406, ,0.0013,
 ,0.0022, ,0.1845, ,0.0013,
 ,0.0023, ,0.211, ,0.0014,
 ,0.0022, ,0.2007, ,0.0013,
 ,0.0022, ,0.2652, ,0.0013,
 ,0.0022, ,0.2417, ,0.0017,
 ,0.0022, ,0.2777, ,0.0016,
 ,0.0024, ,0.3258, ,0.0015,
 ,0.0023, ,0.1911, ,0.0015,
