Arbrook,Model Switch Time,BGFX,Model Switch Time,Native,Model Switch Time,
 ,0.0182, ,4e-04, ,0.0183,
 ,0.1087, ,3e-04, ,0.0971,
 ,0.1823, ,4e-04, ,0.2253,
 ,0.0206, ,5e-04, ,0.0197,
 ,0.2608, ,6e-04, ,0.2631,
 ,0.0179, ,0.0011, ,0.0188,
 ,0.0192, ,3e-04, ,0.0201,
 ,0.0273, ,3e-04, ,0.0225,
 ,0.3306, ,3e-04, ,0.3211,
 ,0.0205, ,8e-04, ,0.0199,
 ,0.0352, ,3e-04, ,0.2666,
 ,0.0179, ,4e-04, ,0.0192,
 ,0.0187, ,3e-04, ,0.0179,
 ,0.1639, ,2e-04, ,0.2201,
 ,0.1538, ,4e-04, ,0.1406,
 ,0.0164, ,3e-04, ,0.0199,
 ,0.5426, ,3e-04, ,0.2903,
 ,0.0187, ,4e-04, ,0.0179,
 ,0.0198, ,3e-04, ,0.0202,
 ,0.0196, ,4e-04, ,0.0248,
 ,0.3986, ,4e-04, ,0.4086,
 ,0.0289, ,0.0013, ,0.0228,
 ,0.0369, ,2e-04, ,0.0343,
 ,0.0182, ,3e-04, ,0.0221,
 ,0.0286, ,3e-04, ,0.0196,
 ,0.1081, ,3e-04, ,0.1051,
 ,0.2733, ,4e-04, ,0.3034,
 ,0.0189, ,3e-04, ,0.0203,
 ,0.241, ,3e-04, ,0.3441,
 ,0.0189, ,4e-04, ,0.0202,
 ,0.0224, ,3e-04, ,0.0215,
 ,0.0229, ,3e-04, ,0.0223,
 ,0.4141, ,5e-04, ,0.3796,
 ,0.0231, ,4e-04, ,0.0245,
 ,0.0397, ,3e-04, ,0.2811,
 ,0.0296, ,3e-04, ,0.0224,
 ,0.0202, ,6e-04, ,0.0193,
 ,0.7867, ,3e-04, ,0.102,
 ,0.539, ,3e-04, ,0.1839,
 ,0.0203, ,3e-04, ,0.0213,
 ,0.2451, ,4e-04, ,0.2279,
 ,0.0236, ,9e-04, ,0.0192,
 ,0.0206, ,4e-04, ,0.1248,
 ,0.0219, ,3e-04, ,0.0231,
 ,0.3835, ,3e-04, ,0.3654,
 ,0.0262, ,0.0011, ,0.0207,
 ,0.0368, ,2e-04, ,0.0329,
 ,0.019, ,4e-04, ,0.0197,
 ,0.0186, ,3e-04, ,0.0186,
 ,0.1318, ,3e-04, ,0.168,
 ,0.1588, ,3e-04, ,0.1426,
 ,0.0162, ,3e-04, ,0.0184,
 ,0.2718, ,3e-04, ,0.297,
 ,0.0179, ,8e-04, ,0.0189,
 ,0.0226, ,4e-04, ,0.0212,
 ,0.0212, ,3e-04, ,0.0217,
 ,0.3973, ,3e-04, ,0.4094,
 ,0.0276, ,4e-04, ,0.0216,
 ,0.0315, ,2e-04, ,0.0311,
 ,0.0187, ,3e-04, ,0.0198,
 ,0.0201, ,4e-04, ,0.0188,
 ,0.1006, ,2e-04, ,0.0976,
 ,0.223, ,4e-04, ,0.2364,
 ,0.0218, ,6e-04, ,0.018,
 ,0.4244, ,8e-04, ,0.5423,
 ,0.0297, ,9e-04, ,0.0284,
 ,0.0217, ,3e-04, ,0.0209,
 ,0.0205, ,3e-04, ,0.0228,
 ,0.3439, ,3e-04, ,0.3667,
 ,0.0261, ,3e-04, ,0.021,
 ,0.037, ,3e-04, ,0.1256,
 ,0.019, ,3e-04, ,0.0185,
 ,0.0183, ,4e-04, ,0.0186,
 ,0.2157, ,3e-04, ,0.1165,
 ,0.1515, ,4e-04, ,0.208,
 ,0.0215, ,3e-04, ,0.021,
 ,0.7704, ,3e-04, ,0.2324,
 ,0.02, ,4e-04, ,0.0227,
 ,0.024, ,3e-04, ,0.0195,
 ,0.0221, ,3e-04, ,0.0212,
 ,0.4316, ,3e-04, ,0.3224,
 ,0.0256, ,3e-04, ,0.0208,
 ,0.0374, ,3e-04, ,0.0344,
 ,0.0194, ,3e-04, ,0.0189,
 ,0.0193, ,3e-04, ,0.0179,
 ,0.111, ,3e-04, ,0.1581,
 ,0.3242, ,3e-04, ,0.1394,
 ,0.0177, ,3e-04, ,0.0177,
 ,0.3174, ,2e-04, ,0.2518,
 ,0.0181, ,6e-04, ,0.0279,
 ,0.0223, ,3e-04, ,0.0223,
 ,0.0583, ,3e-04, ,0.0213,
 ,1.0011, ,3e-04, ,0.5268,
 ,0.0305, ,0.0011, ,0.0255,
 ,0.0332, ,3e-04, ,0.0334,
 ,0.0206, ,3e-04, ,0.0194,
 ,0.019, ,4e-04, ,0.0183,
 ,0.107, ,2e-04, ,0.1,
 ,0.1979, ,3e-04, ,0.2167,
 ,0.0169, ,3e-04, ,0.0199,
 ,0.2917, ,2e-04, ,0.2414,
 ,0.0181, ,7e-04, ,0.0175,
 ,0.0232, ,2e-04, ,0.0201,
 ,0.0206, ,3e-04, ,0.0244,
 ,0.4539, ,3e-04, ,0.322,
 ,0.0236, ,5e-04, ,0.02,
 ,0.0356, ,2e-04, ,0.0326,
 ,0.019, ,3e-04, ,0.0185,
 ,0.018, ,3e-04, ,0.0185,
 ,0.1887, ,3e-04, ,0.1989,
 ,0.1566, ,3e-04, ,0.1591,
 ,0.017, ,3e-04, ,0.0618,
 ,0.5463, ,2e-04, ,0.2116,
 ,0.0195, ,6e-04, ,0.0207,
 ,0.0196, ,3e-04, ,0.0206,
 ,0.0207, ,3e-04, ,0.0211,
 ,0.3805, ,3e-04, ,0.3194,
 ,0.0307, ,0.0017, ,0.1936,
 ,0.0326, ,3e-04, ,0.0318,
 ,0.0191, ,3e-04, ,0.0206,
 ,0.0192, ,3e-04, ,0.0182,
 ,0.0998, ,3e-04, ,0.1433,
 ,0.254, ,3e-04, ,0.14,
 ,0.0174, ,4e-04, ,0.0211,
 ,0.2547, ,2e-04, ,0.4902,
 ,0.0284, ,0.0014, ,0.0185,
 ,0.0252, ,3e-04, ,0.021,
 ,0.021, ,5e-04, ,0.0215,
