Arbrook,FrameTime,SetupTime,DrawCallTime,BGFX,FrameTime,SetupTime,Native,FrameTime,SetupTime,
 ,0.0202, ,0.0029, ,2e-04, , ,4e-04, ,
 ,0.0207, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0199, ,0.001, ,1e-04, , ,3e-04, ,
 ,0.0205, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0202, ,0.0027, ,3e-04, , ,3e-04, ,
 ,0.0204, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0203, ,0.001, ,2e-04, , ,4e-04, ,
 ,0.0204, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.02, ,0.0028, ,2e-04, , ,3e-04, ,
 ,0.0207, ,0.0011, ,3e-04, , ,2e-04, ,
 ,0.0203, ,0.0011, ,2e-04, , ,4e-04, ,
 ,0.0206, ,0.0011, ,3e-04, , ,3e-04, ,
 ,0.0202, ,0.0029, ,1e-04, , ,2e-04, ,
 ,0.0208, ,0.001, ,1e-04, , ,3e-04, ,
 ,0.0202, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0206, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0277, ,0.0029, ,2e-04, , ,4e-04, ,
 ,0.0217, ,0.0011, ,2e-04, , ,2e-04, ,
 ,0.0207, ,0.001, ,2e-04, , ,2e-04, ,
 ,0.0215, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0208, ,0.0029, ,2e-04, , ,3e-04, ,
 ,0.021, ,0.0012, ,2e-04, , ,3e-04, ,
 ,0.0217, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0255, ,0.0011, ,1e-04, , ,3e-04, ,
 ,0.0206, ,0.0027, ,2e-04, , ,3e-04, ,
 ,0.0206, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0265, ,0.001, ,1e-04, , ,2e-04, ,
 ,0.0211, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0202, ,0.0028, ,1e-04, , ,3e-04, ,
 ,0.0212, ,0.0011, ,2e-04, , ,2e-04, ,
 ,0.021, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0215, ,0.001, ,2e-04, , ,2e-04, ,
 ,0.0212, ,0.0029, ,1e-04, , ,3e-04, ,
 ,0.0208, ,0.0012, ,2e-04, , ,3e-04, ,
 ,0.0207, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0209, ,0.001, ,2e-04, , ,2e-04, ,
 ,0.0207, ,0.003, ,2e-04, , ,3e-04, ,
 ,0.0207, ,0.0013, ,2e-04, , ,3e-04, ,
