Arbrook,FrameTime,SetupTime,DrawCallTime,BGFX,FrameTime,SetupTime,Native,FrameTime,SetupTime,
 ,0.015, ,0.0014, ,1e-04, , ,4e-04, ,
 ,0.0152, ,3e-04, ,1e-04, , ,4e-04, ,
 ,0.0197, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.0149, ,3e-04, ,2e-04, , ,3e-04, ,
 ,0.0149, ,0.0014, ,1e-04, , ,4e-04, ,
 ,0.0151, ,4e-04, ,1e-04, , ,4e-04, ,
 ,0.0155, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.0153, ,3e-04, ,1e-04, , ,4e-04, ,
 ,0.015, ,0.0014, ,1e-04, , ,4e-04, ,
 ,0.0151, ,4e-04, ,2e-04, , ,4e-04, ,
 ,0.0152, ,3e-04, ,2e-04, , ,3e-04, ,
 ,0.015, ,2e-04, ,1e-04, , ,4e-04, ,
 ,0.015, ,0.0014, ,2e-04, , ,4e-04, ,
 ,0.015, ,4e-04, ,2e-04, , ,4e-04, ,
 ,0.015, ,3e-04, ,1e-04, , ,3e-04, ,
 ,0.015, ,3e-04, ,2e-04, , ,3e-04, ,
 ,0.015, ,0.0014, ,2e-04, , ,4e-04, ,
 ,0.015, ,3e-04, ,2e-04, , ,3e-04, ,
 ,0.0153, ,3e-04, ,2e-04, , ,3e-04, ,
 ,0.0151, ,3e-04, ,2e-04, , ,3e-04, ,
 ,0.0218, ,0.0014, ,2e-04, , ,4e-04, ,
 ,0.0151, ,4e-04, ,2e-04, , ,3e-04, ,
 ,0.0152, ,3e-04, ,2e-04, , ,3e-04, ,
 ,0.0157, ,3e-04, ,1e-04, , ,3e-04, ,
 ,0.0154, ,0.0014, ,1e-04, , ,4e-04, ,
 ,0.0151, ,3e-04, ,2e-04, , ,3e-04, ,
 ,0.0152, ,3e-04, ,1e-04, , ,3e-04, ,
 ,0.015, ,3e-04, ,1e-04, , ,4e-04, ,
 ,0.0177, ,0.0014, ,3e-04, , ,4e-04, ,
 ,0.0152, ,3e-04, ,4e-04, , ,4e-04, ,
 ,0.015, ,3e-04, ,2e-04, , ,3e-04, ,
 ,0.0149, ,3e-04, ,4e-04, , ,4e-04, ,
 ,0.0151, ,0.0014, ,2e-04, , ,3e-04, ,
 ,0.0152, ,3e-04, ,3e-04, , ,4e-04, ,
 ,0.015, ,3e-04, ,3e-04, , ,4e-04, ,
 ,0.015, ,3e-04, ,2e-04, , ,3e-04, ,
